numero,Region,Group,CW,valor
0,ASIA,Gate Review,CW41,0.0001
1,EMEA,Gate Review,CW41,0.0001
2,NAO,Gate Review,CW41,0.045454545
3,SAO,Gate Review,CW41,0
4,WW,Gate Review,CW41,0.357142857
5,ASIA,WAR,CW41,0
6,EMEA,WAR,CW41,0.06097561
7,NAO,WAR,CW41,0
8,SAO,WAR,CW41,0
9,WW,WAR,CW41,0.3
10,ASIA,GoLive,CW41,0.071428571
11,EMEA,GoLive,CW41,0.012195122
12,NAO,GoLive,CW41,0.046511628
13,SAO,GoLive,CW41,0
14,WW,GoLive,CW41,0.3
15,ASIA,Gate Review,CW45,0.0625
16,EMEA,Gate Review,CW45,0.03125
17,NAO,Gate Review,CW45,0
18,SAO,Gate Review,CW45,0
19,WW,Gate Review,CW45,0.214285714
20,ASIA,WAR,CW45,0
21,EMEA,WAR,CW45,0.107142857
22,NAO,WAR,CW45,0
23,SAO,WAR,CW45,0
24,WW,WAR,CW45,0.25
25,ASIA,GoLive,CW45,0.0625
26,EMEA,GoLive,CW45,0.05952381
27,NAO,GoLive,CW45,0
28,SAO,GoLive,CW45,0
29,WW,GoLive,CW45,0.25
30,ASIA,Gate Review,CW49,0.071428571
31,EMEA,Gate Review,CW49,0
32,NAO,Gate Review,CW49,0
33,SAO,Gate Review,CW49,0
34,WW,Gate Review,CW49,0.3125
35,ASIA,WAR,CW49,0
36,EMEA,WAR,CW49,0.160493827
37,NAO,WAR,CW49,0
38,SAO,WAR,CW49,0
39,WW,WAR,CW49,0.275862069
40,ASIA,GoLive,CW49,0.071428571
41,EMEA,GoLive,CW49,0.061728395
42,NAO,GoLive,CW49,0.02173913
43,SAO,GoLive,CW49,0
44,WW,GoLive,CW49,0.172413793
45,ASIA,Gate Review,CW03,0.083333333
46,EMEA,Gate Review,CW03,0
47,NAO,Gate Review,CW03,0
48,SAO,Gate Review,CW03,0
49,WW,Gate Review,CW03,0.181818182
50,ASIA,WAR,CW03,0
51,EMEA,WAR,CW03,0.136363636
52,NAO,WAR,CW03,0.108695652
53,SAO,WAR,CW03,0
54,WW,WAR,CW03,0.380952381
55,ASIA,GoLive,CW03,0.05
56,EMEA,GoLive,CW03,0.068181818
57,NAO,GoLive,CW03,0.02173913
58,SAO,GoLive,CW03,0
59,WW,GoLive,CW03,0.19047619
60,ASIA,Gate Review,CW06,0
61,EMEA,Gate Review,CW06,0
62,NAO,Gate Review,CW06,0
63,SAO,Gate Review,CW06,0
64,WW,Gate Review,CW06,0.2
65,ASIA,WAR,CW06,0
66,EMEA,WAR,CW06,0.042105263
67,NAO,WAR,CW06,0
68,SAO,WAR,CW06,0
69,WW,WAR,CW06,0.19047619
70,ASIA,GoLive,CW06,0.047619048
71,EMEA,GoLive,CW06,0.063157895
72,NAO,GoLive,CW06,0.022727273
73,SAO,GoLive,CW06,0.333333333
74,WW,GoLive,CW06,0.095238095
75,ASIA,Gate Review,CW10,0
76,EMEA,Gate Review,CW10,1.00E-05
77,NAO,Gate Review,CW10,0
78,SAO,Gate Review,CW10,0
79,WW,Gate Review,CW10,0.272727273
80,ASIA,WAR,CW10,0
81,EMEA,WAR,CW10,0.044444444
82,NAO,WAR,CW10,0
83,SAO,WAR,CW10,0
84,WW,WAR,CW10,0.208333333
85,ASIA,GoLive,CW10,0.04
86,EMEA,GoLive,CW10,0.033333333
87,NAO,GoLive,CW10,0.029411765
88,SAO,GoLive,CW10,0.125
89,WW,GoLive,CW10,0.125
90,ASIA,Gate Review,CW15,0
91,EMEA,Gate Review,CW15,0.029411765
92,NAO,Gate Review,CW15,0
93,SAO,Gate Review,CW15,0
94,WW,Gate Review,CW15,0.272727273
95,ASIA,WAR,CW15,0
96,EMEA,WAR,CW15,0.051020408
97,NAO,WAR,CW15,0
98,SAO,WAR,CW15,0
99,WW,WAR,CW15,0.238095238
100,ASIA,GoLive,CW15,0.034482759
101,EMEA,GoLive,CW15,0.030612245
102,NAO,GoLive,CW15,0.076923077
103,SAO,GoLive,CW15,0
104,WW,GoLive,CW15,0.142857143
105,ASIA,Gate Review,CW19,0
106,EMEA,Gate Review,CW19,0.057142857
107,NAO,Gate Review,CW19,0.055555556
108,SAO,Gate Review,CW19,0
109,WW,Gate Review,CW19,0.375
110,ASIA,WAR,CW19,0
111,EMEA,WAR,CW19,0.057471264
112,NAO,WAR,CW19,0
113,SAO,WAR,CW19,0
114,WW,WAR,CW19,0.3
115,ASIA,GoLive,CW19,0.166666667
116,EMEA,GoLive,CW19,0.022988506
117,NAO,GoLive,CW19,0.073170732
118,SAO,GoLive,CW19,0
119,WW,GoLive,CW19,0.15
120,ASIA,Gate Review,CW23,0
121,EMEA,Gate Review,CW23,0
122,NAO,Gate Review,CW23,0.076923077
123,SAO,Gate Review,CW23,0.4
124,WW,Gate Review,CW23,0.375
125,ASIA,WAR,CW23,0
126,EMEA,WAR,CW23,0.084210526
127,NAO,WAR,CW23,0.027777778
128,SAO,WAR,CW23,0
129,WW,WAR,CW23,0.263157895
130,ASIA,GoLive,CW23,0.13
131,EMEA,GoLive,CW23,0.02
132,NAO,GoLive,CW23,0.19
133,SAO,GoLive,CW23,0
134,WW,GoLive,CW23,0.16
